block_id,service_id,schedule_number
block_560,service_1,50/05
block_561,service_1,50/06
block_562,service_1,50/07
block_563,service_1,50/08
block_564,service_1,50/09
block_565,service_1,50/10
block_566,service_1,50/11
block_567,service_1,50/12
block_568,service_1,50/13
block_569,service_1,50/14
block_570,service_1,50/15
block_571,service_1,50/16
block_572,service_1,50/17
block_573,service_1,50/18
block_574,service_1,50/19
block_575,service_1,50/20
block_576,service_1,50/21
block_577,service_1,50/22
block_578,service_1,50/23
block_579,service_1,50/24
block_580,service_1,50/25
block_490,service_1,18/01
block_491,service_1,18/02
block_492,service_1,18/03
block_493,service_1,18/04
block_494,service_1,18/05
block_495,service_1,18/06
block_496,service_1,18/07
block_497,service_1,18/08
block_498,service_1,18/09
block_499,service_1,18/10
block_500,service_1,18/11
block_501,service_1,18/12
block_502,service_1,18/13
block_503,service_1,18/14
block_504,service_1,18/15
block_505,service_1,18/16
block_506,service_1,18/17
block_525,service_1,21/01
block_526,service_1,21/02
block_527,service_1,21/03
block_528,service_1,21/04
block_529,service_1,21/05
block_530,service_1,21/06
block_581,service_1,52/01
block_582,service_1,52/02
block_583,service_1,52/03
block_584,service_1,52/04
block_585,service_1,52/05
block_586,service_1,52/06
block_587,service_1,52/07
block_588,service_1,52/08
block_589,service_1,52/09
block_590,service_1,52/10
block_591,service_1,52/11
block_592,service_1,52/12
block_593,service_1,52/13
block_594,service_1,52/14
block_595,service_1,52/15
block_596,service_1,52/16
block_597,service_1,52/17
block_598,service_1,52/18
block_599,service_1,52/19
block_396,service_1,4/01
block_397,service_1,4/02
block_398,service_1,4/03
block_399,service_1,4/04
block_400,service_1,4/05
block_401,service_1,4/06
block_402,service_1,4/07
block_403,service_1,4/08
block_404,service_1,4/09
block_419,service_1,8/01
block_420,service_1,8/02
block_421,service_1,8/03
block_422,service_1,8/04
block_423,service_1,8/05
block_424,service_1,8/06
block_425,service_1,8/07
block_426,service_1,8/08
block_427,service_1,8/09
block_428,service_1,8/10
block_429,service_1,8/11
block_430,service_1,8/12
block_431,service_1,8/13
block_432,service_1,8/14
block_433,service_1,8/15
block_459,service_1,13/01
block_460,service_1,13/02
block_461,service_1,13/03
block_462,service_1,13/04
block_463,service_1,13/05
block_464,service_1,13/06
block_465,service_1,13/07
block_466,service_1,13/08
block_467,service_1,13/09
block_468,service_1,13/10
block_469,service_1,13/11
block_470,service_1,13/12
block_471,service_1,13/13
block_472,service_1,13/14
block_473,service_1,13/15
block_513,service_1,20/01
block_514,service_1,20/02
block_515,service_1,20/03
block_516,service_1,20/04
block_517,service_1,20/05
block_518,service_1,20/06
block_519,service_1,20/07
block_520,service_1,20/08
block_521,service_1,20/09
block_522,service_1,20/10
block_523,service_1,20/11
block_524,service_1,20/12
block_405,service_1,5/01
block_406,service_1,5/02
block_407,service_1,5/03
block_408,service_1,5/04
block_409,service_1,5/05
block_410,service_1,5/06
block_411,service_1,5/07
block_474,service_1,14/01
block_475,service_1,14/02
block_476,service_1,14/03
block_477,service_1,14/04
block_478,service_1,14/05
block_479,service_1,14/06
block_480,service_1,14/07
block_481,service_1,14/08
block_482,service_1,14/09
block_550,service_1,49/01
block_551,service_1,49/02
block_552,service_1,49/03
block_553,service_1,49/04
block_554,service_1,49/05
block_555,service_1,49/06
block_378,service_1,2/01
block_379,service_1,2/02
block_380,service_1,2/03
block_381,service_1,2/04
block_412,service_1,6/01
block_413,service_1,6/02
block_414,service_1,6/03
block_415,service_1,6/04
block_416,service_1,6/05
block_417,service_1,6/06
